"Section","Question Number","Question","Response Field","Notes","Instructions"
"Basic Project & Proposer Information","1","Name of Insured / Proposer","[Enter Name]","e.g., ARTIC REFRIGERATION PVT LTD","Enter name."
"Basic Project & Proposer Information","2","Communication Address","[Enter Address]","Complete registered office address","Enter full address."
"Basic Project & Proposer Information","3","Project Start Date","[Enter DD/MM/YYYY]","","Enter date."
"Basic Project & Proposer Information","4","Policy Period","[Enter From To]","From (DD/MM/YYYY) to (DD/MM/YYYY)","Enter 'From DD/MM/YYYY to DD/MM/YYYY'."
"Basic Project & Proposer Information","5","Number of Locations Covered","[Select: Single, Multiple (Attach List)]","If Multiple, attach list with addresses","Enter selection, attach if multiple."
"Basic Project & Proposer Information","6","Project Location Address","[Enter Address]","Mention full site/project location address","Enter address."
"Basic Project & Proposer Information","7","Nature / Scope of Project","[Enter Description]","e.g., Construction of Cold Room. Mention number of floors, basement, etc.","Describe project."
"Basic Project & Proposer Information","8","Top Location Sum Insured (if Multiple Projects)","[Enter ₹ Amount]","","Enter amount if applicable."
"Basic Project & Proposer Information","9","Total Project Duration (in Months)","[Enter Months]","e.g., 18 months","Enter number."
"Basic Project & Proposer Information","10","% Project Completed (if already started)","[Enter %]","","Enter percentage, e.g., '50'."
"Basic Project & Proposer Information","11","Is Installment Payment Required?","[Yes/No]","","Enter 'Yes' or 'No'."
"Basic Project & Proposer Information","12","Is Contract Copy or Bar Chart of Project Available?","[Yes/No]","","Enter 'Yes' or 'No'."
"Basic Project & Proposer Information","13","Claim Experience (if Project already started)","[No Past Claims / Specify]","","Enter 'No Past Claims' or details."
"Basic Project & Proposer Information","14","Client’s Experience in Similar Projects","[Yes/No, Summary if Yes]","","Enter 'No' or 'Yes: Brief summary'."
"Basic Project & Proposer Information","15","Client's Past Claim Experience","[Nil / Details]","","Enter 'Nil' or details."
"Risk & Site Information","16","Material Storage Method","[Enter Method]","e.g., Covered warehouse, Open site, etc.","Describe method."
"Risk & Site Information","17","Excess / Deductible Required","[Enter Amount or Terms]","","Specify."
"Risk & Site Information","18","Site Terrain Type","[Select: Flat, Hilly, Coastal, Industrial Zone]","","Enter selection."
"Risk & Site Information","19","Site Patrolling / Security Services in Place","[Yes/No, Provider if Yes]","","Enter 'No' or 'Yes: Provider'."
"Project Cost Breakup","20","Project Description & Cost Components: Contract Price","[Enter ₹ Amount]","","Enter amount; add rows for multiple if needed."
"Project Cost Breakup","20","Project Description & Cost Components: Material Supplied by Principal","[Enter ₹ Amount]","","Enter amount."
"Project Cost Breakup","20","Project Description & Cost Components: Labour Cost","[Enter ₹ Amount]","","Enter amount."
"Project Cost Breakup","20","Project Description & Cost Components: Landed Cost of Imported Material","[Enter ₹ Amount]","","Enter amount."
"Project Cost Breakup","20","Project Description & Cost Components: Glass Items","[Enter ₹ Amount]","","Enter amount."
"Project Cost Breakup","20","Project Description & Cost Components: Others (Please specify)","[Enter ₹ Amount, Specify]","","Enter amount and description."
"Project Cost Breakup","20","Total - Project Cost","[Enter ₹ Amount]","","Enter total."
