"Section","Question Number","Question","Response Field","Notes","Instructions"
"Basic Proposal Details","A","Name of Insured","[Enter Name]","Full name of the company or legal entity","Enter, e.g., 'XYZ Industries Ltd'."
"Basic Proposal Details","A","Location / Risk Address","[Enter Address]","Complete project/site address","Enter full address."
"Basic Proposal Details","A","Policy Period","[Enter From To]","From (DD/MM/YYYY): To (DD/MM/YYYY)","Enter 'From DD/MM/YYYY To DD/MM/YYYY'."
"Basic Proposal Details","A","Number of Locations Covered","[Select: Single, Multiple (List Addresses)]","If multiple, please list addresses separately","Enter selection; list if Multiple."
"Basic Proposal Details","A","Floater Cover Required","[Yes/No]","","Enter 'Yes' or 'No'."
"Basic Proposal Details","A","Occupancy of Property","[Enter Occupancy]","e.g., Factory, Warehouse, Building under Construction, etc.","Enter, e.g., 'Factory'."
"Basic Proposal Details","A","Sum Insured (Top Location)","[Enter Rs.]","","Enter amount, e.g., '100000000'."
"Basic Proposal Details","A","Age of the Risk","[Enter Years]","","Enter, e.g., '10'."
"Basic Proposal Details","A","Is Bhiwandi Location Included?","[Yes/No]","","Enter 'Yes' or 'No'."
"Contact Person Details","B","Name","[Enter Name]","","Enter full name."
"Contact Person Details","B","Mobile No.","[Enter Number]","","Enter, e.g., '+91 9876543210'."
"Contact Person Details","B","Email ID","[Enter Email]","","Enter, e.g., 'contact@xyz.com'."
"Contact Person Details","B","Communication Address","[Enter Address]","","Enter full address."
"Insured Assets & Declared Values","C","Insured Assets & Declared Values","[Enter for each: Item Description, Sum Insured (Rs.)]","Building, Plant and Machinery, Furniture Fixtures & Fittings, Stocks, Other Items","Add rows in Excel, e.g., 'Building, 50000000'."
"Policy History","D","Do you currently have SFSP Insurance?","[Yes/No, Details if Yes]","If Yes, provide Insurer Name, Policy Number, Policy Period","Enter 'No' or 'Yes: Insurer, Policy No., Period'."
"Policy History","D","Any Claims in the Past 5 Years?","[Yes/No, Details if Yes]","If Yes, share claim details separately","Enter 'No' or 'Yes: Attach details'."
"Risk Assessment & Safety Measures","E","Fire Protection Systems Available?","[Yes/No, Description if Yes]","Please describe (e.g., Fire Hydrants, Alarms, Extinguishers)","Enter 'No' or 'Yes: Describe'."
"Risk Assessment & Safety Measures","E","STFI Exposure (Storm, Tempest, Flood, Inundation)?","[Yes/No]","","Enter 'Yes' or 'No'."
"Risk Assessment & Safety Measures","E","Distance Between Blocks (if applicable)","[Enter Meters]","","Enter, e.g., '50'."
"Risk Assessment & Safety Measures","E","Surrounding Exposure (adjacent risks)","[Enter Description]","","Enter, e.g., 'Residential buildings nearby'."
"Risk Assessment & Safety Measures","E","Distance to Nearest Fire Station","[Enter Kilometers]","","Enter, e.g., '2'."
"Risk Assessment & Safety Measures","E","FLEXA Discount Required?","[Enter %]","","Enter, e.g., '10'."
