Section,Question Number,Question,Response Field,Notes,Instructions
Applicant Information,Q1,What is the full legal name of your company?,[Enter Legal Name],The registered name of your business entity,"Enter, e.g., 'ABC Exports Pvt Ltd'."
Applicant Information,Q2,What is your company's registered address?,"[Enter Street, City, State, Postal Code]","Please include street, city, state, and postal code",Enter full address.
Applicant Information,Q3,What are your contact details? Mobile number,[Enter Mobile Number],,"Enter, e.g., '+91 9876543210'."
Applicant Information,Q3,What are your contact details? Email address,[Enter Email Address],,"Enter, e.g., 'info@abc.com'."
Applicant Information,Q3,What are your contact details? Website URL,[Enter Website URL],,"Enter, e.g., 'www.abc.com' or 'N/A'."
Applicant Information,Q4,What is your company's PAN or Tax Identification Number?,[Enter Tax ID],Unique tax ID issued by the relevant authority,"Enter, e.g., 'AAACA1234F'."
Applicant Information,Q5,What is your company's registration number and a brief description of your business?,"[Enter Registration Number, Description]",,"Enter, e.g., 'U12345MH2010PTC123456, Export of textiles'."
Applicant Information,Q6,Who is the primary contact person for this insurance proposal? Name,[Enter Name],,"Enter, e.g., 'Jane Doe'."
Applicant Information,Q6,Who is the primary contact person for this insurance proposal? Position/Designation,[Enter Position],,"Enter, e.g., 'Finance Manager'."
Applicant Information,Q7,"Who is your current credit insurer? If you are changing insurers, please specify the reason for shifting.","[Enter Insurer, Reason]",,"Enter, e.g., 'Previous Insurer, Higher premiums' or 'None'."
Applicant Information,Q8,Previous Insurance (if any),[Yes/No],,Enter 'Yes' or 'No'.
Applicant Information,Q8,Insurer Name,[Enter Insurer Name],If Yes,"Enter if Yes, e.g., 'Old Insurer'."
Applicant Information,Q8,Policy Number,[Enter Policy Number],If Yes,Enter if Yes.
Applicant Information,Q8,Policy Period,[Enter Policy Period],If Yes,"Enter, e.g., '01/01/2024 to 31/12/2024'."
Applicant Information,Q8,Coverage Limit,[Enter Coverage Limit],If Yes,"Enter amount, e.g., '100000000'."
Applicant Information,Q8,Premium Paid,[Enter Premium Paid],If Yes,"Enter amount, e.g., '500000'."
Applicant Information,Q8,Any Claims in Past 5 Years?,"[Yes/No, Details if Yes]","If Yes, provide claim details separately",Enter 'No' or 'Yes: Attach details'.
Estimated Insurable Sales Turnover,Q9,Estimated insurable sales turnover for the next 12 months: Domestic sales turnover ,[Enter Amount],,"Enter amount, e.g., '500000000'."
Estimated Insurable Sales Turnover,Q9,Estimated insurable sales turnover for the next 12 months: Export sales turnover ,[Enter Amount],,Enter amount.
Estimated Insurable Sales Turnover,Q9,Estimated insurable sales turnover for the next 12 months: Total turnover ,[Enter Amount],,Enter amount.
Estimated Insurable Sales Turnover,Q10,What percentage of your total turnover is from domestic sales?,[Enter Percentage],,"Enter, e.g., '70'."
Estimated Insurable Sales Turnover,Q10,What percentage of your total turnover is from export sales?,[Enter Percentage],,"Enter, e.g., '30'."
Buyer Default and Loss History,Q11,"Total gross losses , from defaults",[Enter Amount],,"Enter amount, e.g., '1000000'."
Buyer Default and Loss History,Q11,Recoveries  made on losses,[Enter Amount],,Enter amount.
Buyer Default and Loss History,Q11,Net losses  after recoveries,[Enter Amount],,Enter amount.
Buyer Default and Loss History,Q11,Number of default incidents,[Enter Number],,"Enter, e.g., '5'."
Buyer Default and Loss History,Q11,Largest single loss amount    and name of the buyer involved,"[Enter Amount, Buyer Name]",,"Enter, e.g., '500000, BuyerX'."
Buyer Default and Loss History,Q12,What is your average loss ratio?,[Enter Percentage],Loss ratio = (Net Losses / Total Sales) x 100%,"Enter, e.g., '2'."
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 0 -“ 250,000   ",Make table,,"Enter, e.g., '100'."
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 250,001   - 500,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 500,001   - 1,000,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 1,000,001   - 2,000,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 2,000,001   - 3,000,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 3,000,001   - 4,000,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 4,000,001   - 5,000,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: 5,000,001   - 7,500,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q13,"Count of debtor accounts: Over 7,500,000   ",Make table,,Enter.
Trade Balance and Debtor Analysis,Q14,Aged debt analysis: Current (not yet due),Make table,,Enter amount.
Trade Balance and Debtor Analysis,Q14,Aged debt analysis: 1 to 30 days overdue,Make table,,Enter amount.
Trade Balance and Debtor Analysis,Q14,Aged debt analysis: 31 to 60 days overdue,Make table,,Enter amount.
Trade Balance and Debtor Analysis,Q14,Aged debt analysis: 61 to 90 days overdue,Make table,,Enter amount.
Trade Balance and Debtor Analysis,Q14,Aged debt analysis: Over 90 days overdue,Make table,,Enter amount.
Sales and Credit Mix,Q15,Percentage of sales: Credit sales,[Enter Percentage],,"Enter, e.g., '80'."
Sales and Credit Mix,Q15,Percentage of sales: Cash sales,[Enter Percentage],,Enter.
Sales and Credit Mix,Q15,Percentage of sales: Secured sales (backed by collateral),[Enter Percentage],,Enter.
Sales and Credit Mix,Q15,Percentage of sales: Inter-company sales,[Enter Percentage],,Enter.
Country Sales Breakdown,Q16,Estimated sales turnover by country for the last 4 quarters,"[Enter for each: Country, Amount   ]","Excluding public sector buyers, private individuals, and related companies","Add rows in Excel, e.g., 'India, 400000000'."
Major Customers Details,Q17,Major customers details,"[Enter for each: Full legal company name, Registered address, Country, VAT ID or tax registration number, Annual sales to the customer    for the last year, Credit limit requested   ]",List your major customers,"Add rows in Excel, e.g., 'Buyer Corp, 123 St, India, VAT123, 10000000, 5000000'."
Credit Management System,Q18,Who is responsible for managing your company's credit system? (Name and designation),"[Enter Name, Designation]",,"Enter, e.g., 'Alice Smith, Credit Manager'."
